anio_sin_datos,tambien_sin_datos_otro_anio,circuito_key,circuito_geo,partido_geo,indec_p,indec_d,cde_from_circuit,gid,feature_index
2023,True,2,0002,Adolfo Alsina,06,007,06007,10739,43
2023,True,4,0004,Adolfo Alsina,06,007,06007,10741,46
2023,True,48,0048,Ayacucho,06,042,06042,10752,75
2023,True,49,0049,Ayacucho,06,042,06042,10753,84
2023,True,51,0051,Ayacucho,06,042,06042,10755,16
2023,True,53,0053,Ayacucho,06,042,06042,10757,90
2023,False,54,0054,Ayacucho,06,042,06042,10758,91
2023,True,64,0064,Azul,06,049,06049,10768,103
2023,True,68,0068,Azul,06,049,06049,10772,113
2023,True,69,0069,Azul,06,049,06049,10773,117
2023,True,108,0108,Baradero,06,070,06070,10803,134
2023,True,109,0109,Baradero,06,070,06070,10804,135
2023,True,114,0114,Baradero,06,070,06070,10808,138
2023,True,130,0130,Bolnvar,06,105,06105,10820,155
2023,True,161,0161,Caeuelas,06,133,06133,10846,178
2023,True,186,0186,Castelli,06,168,06168,10884,191
2023,True,192,0192,Chacabuco,06,210,06210,10923,230
2023,True,194,0194,Chacabuco,06,210,06210,10925,232
2023,True,196,0196,Chacabuco,06,210,06210,10927,180
2023,True,206,0206,ChascomAs,06,217,06217,11597,32
2023,True,208,0208,ChascomAs,06,217,06217,11594,739
2023,True,213,0213,Chivilcoy,06,224,06224,10938,235
2023,True,214,0214,Chivilcoy,06,224,06224,10939,236
2023,True,217,0217,Chivilcoy,06,224,06224,10942,240
2023,True,223,0223,Chivilcoy,06,224,06224,10948,249
2023,True,225,0225,Chivilcoy,06,224,06224,10950,251
2023,False,22C,0022C,Almirante Brown,02,028,02028,76300,1036
2023,True,241,0241,Coronel Pringles,06,196,06196,10897,208
2023,True,242,0242,Coronel Pringles,06,196,06196,10898,29
2023,True,244,0244,Coronel Pringles,06,196,06196,10900,211
2023,True,245,0245,Coronel Pringles,06,196,06196,10901,212
2023,True,256,0256,Coronel Suerez,06,203,06203,10913,223
2023,True,257,0257,Coronel Suerez,06,203,06203,10915,225
2023,True,281,0281,Dolores,06,238,06238,10958,258
2023,True,283,0283,Dolores,06,238,06238,10959,259
2023,True,284,0284,Dolores,06,238,06238,10960,260
2023,True,296,0296,Exaltaciin de la Cruz,06,266,06266,10963,263
2023,True,313,0313,General Alvear,06,287,06287,10974,267
2023,True,321,0321,General Belgrano,06,301,06301,10982,275
2023,True,323,0323,General Belgrano,06,301,06301,10984,278
2023,True,328,0328,General Guido,06,308,06308,10988,279
2023,True,331,0331,General Lamadrid,06,322,06322,10990,284
2023,True,333,0333,General Lamadrid,06,322,06322,10992,286
2023,False,346,0346,General Paz,06,343,06343,11005,299
2023,True,347,0347,General Paz,06,343,06343,11006,300
2023,True,355,0355,General Pinto,06,351,06351,11013,308
2023,True,356,0356,General Pinto,06,351,06351,11014,187
2023,True,410,0410,General Viamonte,06,385,06385,11022,309
2023,True,422,0422,General Villegas,06,392,06392,11794,779
2023,True,438,0438,Benito Jurrez,06,084,06084,11044,337
2023,True,442,0442,Benito Jurrez,06,084,06084,11048,341
2023,True,455,0455,Junnn,06,413,06413,11060,354
2023,True,525,0525,Laprida,06,448,06448,11063,359
2023,True,526,0526,Laprida,06,448,06448,11064,360
2023,True,527,0527,Laprida,06,448,06448,11065,361
2023,True,555,0555,Lincoln,06,469,06469,11080,5
2023,True,560,0560,Lincoln,06,469,06469,11085,368
2023,True,571,0571,Lobersa,06,476,06476,11099,385
2023,True,662,0662,Monte,06,547,06547,11144,421
2023,True,689,0689,Necochea,06,581,06581,11159,432
2023,True,713,0713,Olavarria,02,595,02595,76164,1011
2023,True,721,0721,Olavarria,02,595,02595,75329,994
2023,True,722,0722,Olavarria,02,595,02595,75330,989
2023,True,724,0724,Olavarria,02,595,02595,75333,992
2023,True,726,0726,Olavarria,02,595,02595,75334,993
2023,True,799,0799,Ramallo,06,665,06665,11234,468
2023,True,802,0802,Ramallo,06,665,06665,11237,473
2023,True,809,0809,Rauch,06,672,06672,11243,476
2023,True,821,0821,Rivadavia,06,679,06679,11254,486
2023,True,837,0837,Roque PArez,06,693,06693,11268,13
2023,True,862,0862,San Andres de Giles,02,728,02728,76095,1020
2023,True,868,0868,San Antonio de Areco,06,735,06735,11300,535
2023,True,881,0881,San Fernando,06,749,06749,11848,40
2023,True,916,0916,San Pedro,06,770,06770,11318,550
2023,True,921,0921,San Pedro,06,770,06770,11322,554
2023,True,935,0935,Tandil,06,791,06791,10717,68
2023,True,936,0936,Tandil,06,791,06791,10711,57
2023,True,959,0959,Trenque Lauquen,06,826,06826,11342,569
2023,True,974,0974,Tres Arroyos,06,833,06833,11356,583
2023,True,976,0976,Tres Arroyos,06,833,06833,11360,587
2023,True,977,0977,Tres Arroyos,06,833,06833,11361,588
2023,True,978,0978,Tres Arroyos,06,833,06833,11362,589
2023,True,987,0987,25 de Mayo,06,854,06854,11371,585
2023,True,171A,0171A,Carlos Tejedor,02,154,02154,75669,1115
2023,True,209A,0209A,ChascomAs,06,217,06217,10935,246
2023,True,232A,0232A,Coronel Dorrego,06,189,06189,10887,199
